,Genes_Detected,Percent Mitochondria,Total_reads,Trimmed_filtered_reads,Mapped_reads,Singletons,Median_Insert_Size,Inset_Size_SD,Percent_Duplication,chrM_Mapped,chrX_Mapped,chrY_Mapped,Percent_Coding,Percent_UTR,Percent_Intron,Percent_Intergenic,Percent_RRNA,Median_5`_Bias,Median_3`_Bias,Median_5`to3`_Bias,Percent_Pass,Percent_Mapping,Percent_Target,ID,PASS.FAIL
1-HuT-C28_S59,1756,4.71723147597,2305419.0,2214338.0,949368.0,,,,63.8602,2.24225027977,1.1121156752,0.0178834486876,0.354095,0.614653,1.7926,1.3323,0.0002,0.130314,0.878588,0.239725,96.0492647974,42.8736714991,96.8748,1-HuT-C28_S59,FAIL
1-HuT-C33_S24,1548,4.18259483803,6289163.0,6102941.0,2780093.0,,,,80.3907,2.5821485084,0.82948532519,0.169885306117,0.404621,0.561814,1.867,1.4894,0.0001,0.271734,0.82005,0.396854,97.0390018513,45.5533324015,96.6435,1-HuT-C33_S24,FAIL
1-HuT-C34_S60,1960,5.85498496168,7478216.0,7257968.0,2833792.0,,,,78.7485,2.42908207917,0.874390738565,0.0632683968846,0.409518,0.552867,2.2276,1.5338,0.0,0.292348,0.750659,0.442801,97.0548055846,39.0438756412,96.2385,1-HuT-C34_S60,FAIL
1-HuT-C41_S69,16,0.0,98.0,92.0,19.0,,,,0.0,0.0,0.0,0.0,0.3125,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,93.8775510204,20.652173913,100.0,1-HuT-C41_S69,FAIL
1-HuT-C42_S77,21,0.0,112.0,101.0,24.0,,,,0.0,0.0,0.990099009901,0.0,0.285055,0.714945,0.0,0.0,0.0,0.0,0.0,0.0,90.1785714286,23.7623762376,100.0,1-HuT-C42_S77,FAIL
1-HuT-C43_S8,19,0.0,114.0,88.0,23.0,,,,0.0,0.0,1.13636363636,0.0,0.341029,0.501319,0.0,15.7652,0.0,0.0,0.0,0.0,77.1929824561,26.1363636364,84.2348,1-HuT-C43_S8,FAIL
1-HuT-C44_S17,28,0.0,103.0,91.0,30.0,,,,3.3333,0.0,0.0,0.0,0.324503,0.675497,0.0,0.0,0.0,0.0,0.0,0.0,88.3495145631,32.967032967,100.0,1-HuT-C44_S17,FAIL
1-HuT-C46_S62,40,6.81818181818,112.0,96.0,49.0,,,,4.0816,4.16666666667,1.04166666667,0.0,0.417898,0.570951,1.1151,0.0,0.0,0.0,0.0,0.0,85.7142857143,51.0416666667,98.8849,1-HuT-C46_S62,FAIL
1-HuT-C47_S70,15,0.0,65.0,59.0,15.0,,,,0.0,0.0,0.0,0.0,0.242452,0.715462,0.0,4.2086,0.0,0.0,0.0,0.0,90.7692307692,25.4237288136,95.7914,1-HuT-C47_S70,FAIL
1-HuT-C52_S79,2179,4.46524282559,7534897.0,7317231.0,3112548.0,,,,76.4795,2.13643658373,0.845306100081,0.207305195094,0.385384,0.581728,2.0727,1.2161,0.0,0.191681,0.760801,0.323082,97.1112279305,42.5372384718,96.7112,1-HuT-C52_S79,PASS
1-HuT-C56_S38,1526,4.1309313336,7308790.0,7091436.0,2838658.0,,,,83.0424,1.92776188067,1.07490217778,0.173039705921,0.372391,0.590163,2.1615,1.5831,0.0001,0.13644,0.691309,0.464511,97.026128812,40.0293819193,96.2554,1-HuT-C56_S38,FAIL
1-HuT-C59_S88,1994,5.20075700994,6299323.0,6111160.0,2303820.0,,,,75.7323,1.69363917816,0.873533011736,0.0206016533686,0.399748,0.554167,2.7186,1.8899,0.0,0.206407,0.773301,0.338304,97.0129647265,37.6985711387,95.3915,1-HuT-C59_S88,FAIL
1-HuT-C65_S89,2090,3.2193740105,6031829.0,5854081.0,2226198.0,,,,71.5929,1.42225568796,0.828396463937,0.0977096148823,0.351039,0.616798,1.8628,1.3535,0.0,0.210462,0.75205,0.33129,97.0531657976,38.0281379776,96.7837,1-HuT-C65_S89,PASS
1-HuT-C66_S97,2010,4.14119259687,6554650.0,6379056.0,2442154.0,,,,73.7908,1.45976144433,1.04162747591,0.0300044395284,0.396798,0.575107,1.596,1.2135,0.0,0.355913,0.695149,0.502851,97.3210774031,38.2839404451,97.1905,1-HuT-C66_S97,PASS
1-HuT-C69_S49,2165,4.79726635152,5101650.0,4967137.0,1894698.0,,,,69.3885,1.5635365,0.80702424757,0.0627524467314,0.388575,0.577054,1.9834,1.4536,0.0,0.265706,0.670967,0.44261,97.3633432321,38.1446696558,96.5629,1-HuT-C69_S49,PASS
1-HuT-C76_S99,1988,5.67824099707,5923864.0,5761135.0,2296171.0,,,,74.4333,2.43906799615,0.786320751033,0.0599187486494,0.41717,0.544081,2.4091,1.4657,0.0,0.151676,0.74813,0.353419,97.2529923037,39.8562262471,96.1251,1-HuT-C76_S99,FAIL
1-HuT-C81_S33,1952,4.2367579605,5988229.0,5807090.0,2865587.0,,,,73.6572,2.30464828339,0.95004554777,0.0520398340649,0.394674,0.573614,1.6672,1.5039,0.0,0.189986,0.786105,0.337841,96.9750822823,49.346350754,96.8288,1-HuT-C81_S33,FAIL
1-HuT-C82_S100,2148,3.674103572,7104772.0,6906779.0,2790126.0,,,,75.2145,1.48862443695,1.15887593913,0.0736522769876,0.392977,0.565489,2.5871,1.5663,0.0001,0.288183,0.662337,0.485975,97.2132392144,40.3969201852,95.8466,1-HuT-C82_S100,PASS
1-HuT-C87_S34,52,0.0,157.0,142.0,60.0,,,,0.0,0.704225352113,2.11267605634,0.0,0.500113,0.499887,0.0,0.0,0.0,0.0,0.0,0.0,90.4458598726,42.2535211268,100.0,1-HuT-C87_S34,FAIL
1-HuT-C93_S35,23,4.34782608696,89.0,79.0,25.0,,,,0.0,1.26582278481,1.26582278481,0.0,0.311035,0.665523,0.0,2.3442,0.0,0.0,0.0,0.0,88.7640449438,31.6455696203,97.6558,1-HuT-C93_S35,FAIL
1-or-DB-HuT-C39_S25,46,4.05926527299,167.0,159.0,58.0,,,,0.0,1.25786163522,0.62893081761,0.0,0.328362,0.618371,3.5511,1.7756,0.0,0.0,0.0,0.0,95.2095808383,36.4779874214,94.6733,1-or-DB-HuT-C39_S25,FAIL
2-HuT-C30_S75,1544,4.99662857357,5602337.0,5418033.0,3149349.0,,,,77.2993,3.06555903222,1.25252097948,0.0332223890109,0.456216,0.508857,1.6182,1.8745,0.0,0.308524,0.799793,0.403865,96.7102300344,58.1271653384,96.5073,2-HuT-C30_S75,FAIL
2-HuT-C35_S68,1883,2.5492949342,3988008.0,3859793.0,1670913.0,,,,69.0438,1.50668701664,1.81009706997,0.0294575382669,0.389308,0.581615,1.7116,1.1958,0.0002,0.261693,0.719926,0.369203,96.7849863892,43.2902230767,97.0923,2-HuT-C35_S68,FAIL
2-HuT-C36_S76,3910,1.44879171598,5842772.0,5662257.0,981690.0,,,,55.7018,0.481097908484,0.22429218596,0.00754116247284,0.111943,0.825109,2.869,3.4048,0.0211,0.0,0.287452,0.309815,96.9104562013,17.3374327587,93.7052,2-HuT-C36_S76,PASS
2-HuT-C57_S47,2165,6.39486147102,4941102.0,4772756.0,2042874.0,,,,71.0923,3.39011673758,1.19360805371,0.0619977220709,0.381264,0.582554,2.117,1.496,0.0052,0.176789,0.735923,0.37881,96.5929462699,42.8028166535,96.3818,2-HuT-C57_S47,PASS
2-HuT-C61_S30,2123,3.30591451499,5027555.0,4880148.0,2145863.0,,,,69.2807,1.79525293085,1.13451477291,0.0625595781112,0.403206,0.567209,1.6949,1.2619,0.0017,0.311158,0.719254,0.466893,97.068018152,43.9712689041,97.0415,2-HuT-C61_S30,PASS
2-HuT-C67_S31,2353,1.4564270117,4861698.0,4719563.0,1973028.0,,,,65.2946,0.780093411191,0.966085207465,0.0673367428298,0.392328,0.573885,1.7425,1.6352,0.001,0.302499,0.766312,0.413036,97.0764329664,41.8053112121,96.6213,2-HuT-C67_S31,PASS
2-HuT-C70_S82,1711,2.5717718548,5268929.0,5088205.0,2549129.0,,,,74.7985,2.0050292785,1.86735793861,0.0488580943574,0.428586,0.534986,1.8619,1.7787,0.0021,0.311555,0.834322,0.369804,96.5700050238,50.0987872934,96.3572,2-HuT-C70_S82,FAIL
2-HuT-C86_S43,36,0.0,132.0,129.0,41.0,,,,0.0,0.0,0.0,0.0,0.414081,0.536203,2.4691,2.5025,0.0,0.0,0.0,0.0,97.7272727273,31.7829457364,95.0284,2-HuT-C86_S43,FAIL
2-or-DB-HuT-C38_S16,45,9.37313432836,147.0,142.0,57.0,,,,0.0,3.52112676056,0.704225352113,0.0,0.499759,0.446024,1.8072,3.6145,0.0,0.0,0.0,0.0,96.5986394558,40.1408450704,94.5783,2-or-DB-HuT-C38_S16,FAIL
3-HuT-C26_S14,2217,3.58645984744,3491702.0,3388326.0,1661985.0,,,,62.5255,2.22788480211,1.95270466891,0.0192425404167,0.4209,0.546505,1.786,1.4732,0.0002,0.285126,0.82744,0.327686,97.0393807948,49.0503275069,96.7405,3-HuT-C26_S14,PASS
3-HuT-C49_S28,3455,3.87895631171,4928769.0,4786328.0,1721730.0,,,,55.5485,1.51619362484,0.771363767799,0.0254892686001,0.336492,0.621422,2.4563,1.7515,0.0007,0.291083,0.737559,0.410548,97.1100086046,35.9718347761,95.7914,3-HuT-C49_S28,PASS
3-HuT-C50_S37,2064,3.31172829148,5977154.0,5781391.0,3121871.0,,,,73.0973,2.82610188448,2.10544486612,0.0226589068271,0.429589,0.543167,1.457,1.2674,0.0,0.282018,0.687701,0.381912,96.7248125111,53.9986138284,97.2756,3-HuT-C50_S37,PASS
3-HuT-C64_S81,2003,3.24844336392,4389921.0,4226692.0,2265328.0,,,,68.1092,2.46836059973,1.39212887998,0.0837061228971,0.433981,0.532947,1.7282,1.5787,0.0003,0.313145,0.819202,0.389667,96.2817326325,53.5957670916,96.6928,3-HuT-C64_S81,PASS
3-HuT-C92_S44,35,5.40540540541,142.0,113.0,41.0,,,,0.0,1.76991150442,0.884955752212,0.0,0.301653,0.63292,0.0,6.5427,0.0,0.0,0.0,0.0,79.5774647887,36.2831858407,93.4573,3-HuT-C92_S44,FAIL
